title,description,category,subcategory,priority,department
VPN client installation error,"When trying to install the Cisco VPN client on macOS, the installer throws error 1722.",Network,VPN,HIGH,Network Support
Escalation: Entered credentials on fake login page,"Realized after submitting password that the URL was secure-login-verify.xyz, not company domain. Impacting ongoing customer deliverables.",Security,Phishing,CRITICAL,Security
Need immediate help with this. Mailbox full quota exceeded error,Cannot receive new incoming emails because mailbox has reached 50 GB limit. Occurred right after rebooting.,Email,Email Not Receiving,HIGH,Email Support
User account disabled message on Windows login,Screen shows 'Your account has been disabled. Please see your system administrator.',Account & Access,Login Problem,HIGH,IT Helpdesk
Need immediate help with this. Unable to reset password via SMS OTP,OTP code for password reset is not arriving on my registered mobile device. Occurred right after rebooting.,Account & Access,Password Reset,HIGH,IT Helpdesk
Help needed: External monitor flickering continuously,Dell 27-inch monitor flickers black every 5 seconds over HDMI and DisplayPort. Kindly look into this as soon as possible.,Hardware,Monitor,MEDIUM,Hardware Support
Urgent assistance required: Account locked after 3 invalid attempts,My domain account is locked out across all workstations and SSO services. Error code was captured in screenshot.,Account & Access,Login Problem,HIGH,IT Helpdesk
Please assist urgently. Windows 11 update stuck at 74% loop,Laptop has been rebooting and reverting update KB5034441 for 2 hours. This is blocking my daily tasks.,Software,Update Issue,MEDIUM,Software Support
Issue started this morning. AWS IAM console read-only access request,Requesting AWS sandbox account access for cloud architecture evaluation. Restarting the system did not resolve the problem.,Account & Access,Access Request,HIGH,IT Helpdesk
Urgent assistance required: Phishing campaign report: fake payroll bonus notification,Received email claiming HR bonus with macro-enabled Excel document attached. Error code was captured in screenshot.,Security,Phishing,HIGH,Security
Need immediate help with this. Remote access VPN speed extremely slow,VPN connection is established but speeds are below 50 Kbps making it impossible to work. Occurred right after rebooting.,Network,VPN,MEDIUM,Network Support
Urgent assistance required: Jabra headset microphone not capturing audio,Can hear callers in Teams meeting but microphone picks up no sound. Error code was captured in screenshot.,Hardware,Peripherals,LOW,Hardware Support
FYI for the helpdesk team. External monitor flickering continuously,Dell 27-inch monitor flickers black every 5 seconds over HDMI and DisplayPort. Multiple teammates are experiencing this as well.,Hardware,Monitor,MEDIUM,Hardware Support
Please assist urgently. Remote access VPN speed extremely slow,VPN connection is established but speeds are below 50 Kbps making it impossible to work. This is blocking my daily tasks.,Network,VPN,MEDIUM,Network Support
VPN disconnects every 10 minutes,GlobalProtect / AnyConnect keeps dropping every few minutes disrupting remote desktop.,Network,VPN,HIGH,Network Support
Certificate error when joining 802.1x WiFi,Device prompts for RADIUS server certificate trust and refuses to connect.,Network,WiFi,MEDIUM,Network Support
Need immediate help with this. Database replica lag exceeded 30 minutes,Read replica in secondary region is falling behind master causing stale reads. Occurred right after rebooting.,Server / Infrastructure,Database Issue,HIGH,Infrastructure
Emails going directly to Junk / Spam folder,Legitimate internal communication from HR is being routed to Spam folder.,Email,Email Not Receiving,CRITICAL,Email Support
Please assist urgently. SSO login loop on Okta / Azure AD,Attempting to login to internal portal keeps redirecting back to login screen in a loop. This is blocking my daily tasks.,Account & Access,Login Problem,CRITICAL,IT Helpdesk
Issue started this morning. Important client email delayed by 8 hours,Incoming emails are queuing up in mail gateway with severe delivery latency. Restarting the system did not resolve the problem.,Email,Email Not Receiving,HIGH,Email Support
Password reset link expired or invalid,Self-service password reset portal says security questions are not configured.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Please assist urgently. No internet access on workstation,"Ethernet cable is plugged in, link lights are on, but cannot browse any websites. This is blocking my daily tasks.",Network,Internet Connectivity,HIGH,Network Support
Escalation: Temporary password not working on first login,IT provided a temporary password but portal says incorrect credentials. Impacting ongoing customer deliverables.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
FYI for the helpdesk team. Core API server unresponsive with HTTP 502/504 errors,NGINX reverse proxy is throwing 502 Bad Gateway for all client traffic to main backend. Multiple teammates are experiencing this as well.,Server / Infrastructure,Server Down,CRITICAL,Infrastructure
Monitor resolution stuck at 1024x768,Display settings won't allow switching to native 2560x1440 resolution.,Hardware,Monitor,MEDIUM,Hardware Support
Escalation: Monitor resolution stuck at 1024x768,Display settings won't allow switching to native 2560x1440 resolution. Impacting ongoing customer deliverables.,Hardware,Monitor,MEDIUM,Hardware Support
Please assist urgently. PostgreSQL primary database connection pool exhausted,Application logs show 'FATAL: remaining connection slots are reserved for non-replication superuser connections'. This is blocking my daily tasks.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Emails stuck in Outbox and not sending,Outgoing messages with or without attachments stay in Outbox indefinitely.,Email,Email Not Sending,HIGH,Email Support
SAN storage volume degraded on LUN 3,Storage array controller reporting failed drive in RAID 6 group.,Server / Infrastructure,Storage,MEDIUM,Infrastructure
Issue started this morning. Install Zoom client for upcoming client presentation,Software Center installation of Zoom failed with error code 1603. Restarting the system did not resolve the problem.,Software,Software Installation,LOW,Software Support
Issue started this morning. Monitor resolution stuck at 1024x768,Display settings won't allow switching to native 2560x1440 resolution. Restarting the system did not resolve the problem.,Hardware,Monitor,MEDIUM,Hardware Support
Urgent assistance required: WiFi adapter not recognized in laptop,Windows Device Manager shows a yellow exclamation mark next to Intel WiFi 6 AX201. Error code was captured in screenshot.,Network,WiFi,MEDIUM,Network Support
Please assist urgently. SAN storage volume degraded on LUN 3,Storage array controller reporting failed drive in RAID 6 group. This is blocking my daily tasks.,Server / Infrastructure,Storage,HIGH,Infrastructure
Please assist urgently. Internal DNS not resolving intranet portals,Attempts to navigate to intranet.company.local result in DNS_PROBE_FINISHED_NXDOMAIN. This is blocking my daily tasks.,Network,DNS,MEDIUM,Network Support
"Need immediate help with this. New phone, need MFA Authenticator reset",I upgraded my smartphone and lost Microsoft Authenticator app 2FA tokens. Occurred right after rebooting.,Account & Access,MFA,HIGH,IT Helpdesk
Please assist urgently. AWS IAM console read-only access request,Requesting AWS sandbox account access for cloud architecture evaluation. This is blocking my daily tasks.,Account & Access,Access Request,LOW,IT Helpdesk
Help needed: Outlook calendar appointments disappeared,Shared team calendar is not syncing and recurring meetings have vanished. Kindly look into this as soon as possible.,Email,Outlook Problem,HIGH,Email Support
Escalation: Bounce back error 550 Relaying denied,Sending email to client domains results in NDR error 5.7.1 Access denied. Impacting ongoing customer deliverables.,Email,Email Not Sending,CRITICAL,Email Support
Salesforce desktop plugin crashing Outlook,Add-in for Salesforce causes Outlook to hang during startup in safe mode.,Software,Application Crash,CRITICAL,Software Support
Cannot connect to corporate VPN,Unable to establish VPN connection from home. It says handshake failed or connection timed out.,Network,VPN,HIGH,Network Support
Please assist urgently. Requesting Python and Docker desktop installation,Need local development tools installed on my workstation for new project. This is blocking my daily tasks.,Software,Software Installation,LOW,Software Support
Issue started this morning. Stale DNS records for staging server,DNS still points to the old decommissioned IP address 10.0.5.21. Restarting the system did not resolve the problem.,Network,DNS,CRITICAL,Network Support
Escalation: Requesting file restoration from tape backup,Need accidentally deleted folder /var/www/legacy restored from last Friday's backup. Impacting ongoing customer deliverables.,Server / Infrastructure,Backup,HIGH,Infrastructure
Help needed: Laptop battery swollen and pushing touchpad,The chassis of my ThinkPad is bulging and the trackpad cannot be clicked. Urgent safety hazard. Kindly look into this as soon as possible.,Hardware,Laptop,MEDIUM,Hardware Support
Please assist urgently. Session hijacked on corporate portal,Activity log indicates active session while I was asleep and laptop was powered off. This is blocking my daily tasks.,Security,Suspicious Login,CRITICAL,Security
Issue started this morning. ERP system password expired,SAP / Oracle login states credentials have expired and requires IT admin reset. Restarting the system did not resolve the problem.,Account & Access,Password Reset,MEDIUM,IT Helpdesk
Escalation: Production database query deadlocks causing timeouts,Multiple transactions on orders table deadlocking and aborting checkout flows. Impacting ongoing customer deliverables.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Urgent assistance required: AutoCAD freezing on startup splash screen,AutoCAD 2024 hangs at 'Checking license...' and then terminates silently. Error code was captured in screenshot.,Software,Application Crash,HIGH,Software Support
VPN certificate expired,Error message says client certificate has expired and needs renewal from network admin.,Network,VPN,MEDIUM,Network Support
Escalation: Outlook calendar appointments disappeared,Shared team calendar is not syncing and recurring meetings have vanished. Impacting ongoing customer deliverables.,Email,Outlook Problem,HIGH,Email Support
Escalation: Install Postman for API testing,Require Postman desktop client for testing microservices endpoints. Impacting ongoing customer deliverables.,Software,Software Installation,MEDIUM,Software Support
Escalation: WiFi adapter not recognized in laptop,Windows Device Manager shows a yellow exclamation mark next to Intel WiFi 6 AX201. Impacting ongoing customer deliverables.,Network,WiFi,MEDIUM,Network Support
Requesting file restoration from tape backup,Need accidentally deleted folder /var/www/legacy restored from last Friday's backup.,Server / Infrastructure,Backup,HIGH,Infrastructure
Issue started this morning. Cannot access internal git server through VPN,VPN is connected with green status but I cannot ping or clone from gitlab.internal. Restarting the system did not resolve the problem.,Network,VPN,MEDIUM,Network Support
Need immediate help with this. Reverse DNS lookup failure,Mail server is failing reverse PTR checks causing outgoing emails to bounce. Occurred right after rebooting.,Network,DNS,MEDIUM,Network Support
Please assist urgently. Account locked after 3 invalid attempts,My domain account is locked out across all workstations and SSO services. This is blocking my daily tasks.,Account & Access,Login Problem,MEDIUM,IT Helpdesk
Please assist urgently. Clicked suspicious link in unexpected email,I inadvertently clicked on a link in an email claiming to be Microsoft password reset. This is blocking my daily tasks.,Security,Phishing,HIGH,Security
Need immediate help with this. VPN tunnel blocked by home ISP,My ISP appears to be throttling UDP port 4500 and VPN won't establish tunnel. Occurred right after rebooting.,Network,VPN,HIGH,Network Support
Need immediate help with this. WiFi connected but no internet access,"Connected to WiFi with full signal bars, but browser says DNS resolution failed. Occurred right after rebooting.",Network,WiFi,MEDIUM,Network Support
Cannot connect to corporate VPN,Unable to establish VPN connection from home. It says handshake failed or connection timed out.,Network,VPN,HIGH,Network Support
Outlook disconnected from Exchange server,Status bar in Outlook constantly displays Disconnected or Trying to connect.,Email,Outlook Problem,MEDIUM,Email Support
Issue started this morning. Database disk space utilization reached 98%,Postgres WAL archive directory is filling up rapidly; less than 2 GB remaining. Restarting the system did not resolve the problem.,Server / Infrastructure,Database Issue,CRITICAL,Infrastructure
Urgent assistance required: Temporary password not working on first login,IT provided a temporary password but portal says incorrect credentials. Error code was captured in screenshot.,Account & Access,Password Reset,LOW,IT Helpdesk
